,title,year,category,result
4859,the young victoria,2009,actress,O
4860,harry potter and the half-blood prince,2009,actress,O
4861,the white ribbon,2009,actress,O
4862,bright star,2009,actress,O
4863,coco before chanel,2009,actress,O
4864,the king's speech,2010,actress,O
4865,127 hours,2010,actress,O
4866,black swan,2010,actress,W
4867,the fighter,2010,actress,O
4868,inception,2010,actress,O
4869,the kids are all right,2010,actress,N
4870,the social network,2010,actress,O
4871,toy story 3,2010,actress,O
4872,true grit,2010,actress,O
4873,winter's bone,2010,actress,N
4874,biutiful,2010,actress,O
4875,rabbit hole,2010,actress,N
4876,blue valentine,2010,actress,N
4877,the town,2010,actress,O
4878,animal kingdom,2010,actress,O
4879,another year,2010,actress,O
4880,how to train your dragon,2010,actress,O
4881,country strong,2010,actress,O
4882,tangled,2010,actress,O
4883,tron: legacy,2010,actress,O
4884,unstoppable,2010,actress,O
4885,salt,2010,actress,O
4886,alice in wonderland,2010,actress,O
4887,harry potter and the deathly hallows  part 1,2010,actress,O
4888,i am love,2010,actress,O
4889,the tempest,2010,actress,O
4890,hereafter,2010,actress,O
4891,iron man 2,2010,actress,O
4892,the artist,2011,actress,O
4893,the descendants,2011,actress,O
4894,extremely loud & incredibly close,2011,actress,O
4895,the help,2011,actress,N
4896,hugo,2011,actress,O
4897,midnight in paris,2011,actress,O
4898,moneyball,2011,actress,O
4899,the tree of life,2011,actress,O
4900,war horse,2011,actress,O
4901,a better life,2011,actress,O
4902,tinker tailor soldier spy,2011,actress,O
4903,the iron lady,2011,actress,W
4904,albert nobbs,2011,actress,N
4905,the girl with the dragon tattoo,2011,actress,N
4906,my week with marilyn,2011,actress,N
4907,beginners,2011,actress,O
4908,warrior,2011,actress,O
4909,bridesmaids,2011,actress,O
4910,margin call,2011,actress,O
4911,a separation,2011,actress,O
4912,the ides of march,2011,actress,O
4913,the adventures of tintin,2011,actress,O
4914,the muppets,2011,actress,O
4915,rio,2011,actress,O
4916,drive,2011,actress,O
4917,transformers: dark of the moon,2011,actress,O
4918,harry potter and the deathly hallows  part 2,2011,actress,O
4919,anonymous,2011,actress,O
4920,jane eyre,2011,actress,O
4921,w.e.,2011,actress,O
4922,real steel,2011,actress,O
4923,rise of the planet of the apes,2011,actress,O
4924,argo,2012,actress,O
4925,amour,2012,actress,N
4926,beasts of the southern wild,2012,actress,N
4927,django unchained,2012,actress,O
4928,les misérables,2012,actress,O
4929,life of pi,2012,actress,O
4930,lincoln,2012,actress,O
4931,silver linings playbook,2012,actress,W
4932,zero dark thirty,2012,actress,N
4933,the master,2012,actress,O
4934,flight,2012,actress,O
4935,the impossible,2012,actress,N
4936,the sessions,2012,actress,O
4937,moonrise kingdom,2012,actress,O
4938,anna karenina,2012,actress,O
4939,skyfall,2012,actress,O
4940,chasing ice,2012,actress,O
4941,ted,2012,actress,O
4942,mirror mirror,2012,actress,O
4943,snow white and the huntsman,2012,actress,O
4944,the hobbit: an unexpected journey,2012,actress,O
4945,marvel's the avengers,2012,actress,O
4946,prometheus,2012,actress,O
4947,12 years a slave,2013,actress,O
4948,american hustle,2013,actress,N
4949,captain phillips,2013,actress,O
4950,dallas buyers club,2013,actress,O
4951,gravity,2013,actress,N
4952,her,2013,actress,O
4953,nebraska,2013,actress,O
4954,philomena,2013,actress,N
4955,the wolf of wall street,2013,actress,O
4956,blue jasmine,2013,actress,W
4957,august: osage county,2013,actress,N
4958,before midnight,2013,actress,O
4959,the book thief,2013,actress,O
4960,saving mr. banks,2013,actress,O
4961,frozen,2013,actress,O
4962,despicable me 2,2013,actress,O
4963,mandela: long walk to freedom,2013,actress,O
4964,alone yet not alone,2013,actress,O
4965,all is lost,2013,actress,O
4966,the hobbit: the desolation of smaug,2013,actress,O
4967,lone survivor,2013,actress,O
4968,inside llewyn davis,2013,actress,O
4969,the grandmaster,2013,actress,O
4970,prisoners,2013,actress,O
4971,the great gatsby,2013,actress,O
4972,the invisible woman,2013,actress,O
4973,iron man 3,2013,actress,O
4974,the lone ranger,2013,actress,O
4975,star trek into darkness,2013,actress,O
4976,birdman or (the unexpected virtue of ignorance),2014,actress,O
4977,american sniper,2014,actress,O
4978,boyhood,2014,actress,O
4979,the grand budapest hotel,2014,actress,O
4980,the imitation game,2014,actress,O
4981,selma,2014,actress,O
4982,the theory of everything,2014,actress,N
4983,whiplash,2014,actress,O
4984,foxcatcher,2014,actress,O
4985,still alice,2014,actress,W
4986,"two days, one night",2014,actress,N
4987,gone girl,2014,actress,N
4988,wild,2014,actress,N
4989,the judge,2014,actress,O
4990,into the woods,2014,actress,O
4991,nightcrawler,2014,actress,O
4992,inherent vice,2014,actress,O
4993,interstellar,2014,actress,O
4994,mr. turner,2014,actress,O
4995,the lego movie,2014,actress,O
4996,beyond the lights,2014,actress,O
4997,glen campbell: i'll be me,2014,actress,O
4998,begin again,2014,actress,O
4999,the hobbit: the battle of the five armies,2014,actress,O
5000,unbroken,2014,actress,O
5001,ida,2014,actress,O
5002,maleficent,2014,actress,O
5003,captain america: the winter soldier,2014,actress,O
5004,dawn of the planet of the apes,2014,actress,O
5005,guardians of the galaxy,2014,actress,O
5006,x-men: days of future past,2014,actress,O
5007,spotlight,2015,actress,O
5008,the big short,2015,actress,O
5009,bridge of spies,2015,actress,O
5010,brooklyn,2015,actress,N
5011,mad max: fury road,2015,actress,O
5012,the martian,2015,actress,O
5013,the revenant,2015,actress,O
5014,room,2015,actress,W
5015,trumbo,2015,actress,O
5016,steve jobs,2015,actress,O
5017,the danish girl,2015,actress,O
5018,carol,2015,actress,N
5019,joy,2015,actress,N
5020,45 years,2015,actress,N
5021,creed,2015,actress,O
5022,the hateful eight,2015,actress,O
5023,ex machina,2015,actress,O
5024,inside out,2015,actress,O
5025,straight outta compton,2015,actress,O
5026,sicario,2015,actress,O
5027,star wars: the force awakens,2015,actress,O
5028,spectre,2015,actress,O
5029,fifty shades of grey,2015,actress,O
5030,racing extinction,2015,actress,O
5031,youth,2015,actress,O
5032,the hunting ground,2015,actress,O
5033,cinderella,2015,actress,O
5034,moonlight,2016,actress,O
5035,arrival,2016,actress,O
5036,fences,2016,actress,O
5037,hacksaw ridge,2016,actress,O
5038,hell or high water,2016,actress,O
5039,hidden figures,2016,actress,O
5040,la la land,2016,actress,W
5041,lion,2016,actress,O
5042,manchester by the sea,2016,actress,O
5043,captain fantastic,2016,actress,O
5044,elle,2016,actress,N
5045,loving,2016,actress,N
5046,jackie,2016,actress,N
5047,florence foster jenkins,2016,actress,N
5048,nocturnal animals,2016,actress,O
5049,20th century women,2016,actress,O
5050,the lobster,2016,actress,O
5051,passengers,2016,actress,O
5052,trolls,2016,actress,O
5053,jim: the james foley story,2016,actress,O
5054,moana,2016,actress,O
5055,deepwater horizon,2016,actress,O
5056,sully,2016,actress,O
5057,13 hours: the secret soldiers of benghazi,2016,actress,O
5058,rogue one: a star wars story,2016,actress,O
5059,silence,2016,actress,O
5060,fantastic beasts and where to find them,2016,actress,O
5061,allied,2016,actress,O
5062,the jungle book,2016,actress,O
5063,doctor strange,2016,actress,O
5064,kubo and the two strings,2016,actress,O
5065,the shape of water,2017,actress,N
5066,call me by your name,2017,actress,O
5067,darkest hour,2017,actress,O
5068,dunkirk,2017,actress,O
5069,get out,2017,actress,O
5070,lady bird,2017,actress,N
5071,phantom thread,2017,actress,O
5072,the post,2017,actress,N
5073,"three billboards outside ebbing, missouri",2017,actress,W
5074,"roman j. israel, esq.",2017,actress,O
5075,"i, tonya",2017,actress,N
5076,the florida project,2017,actress,O
5077,all the money in the world,2017,actress,O
5078,mudbound,2017,actress,O
5079,the big sick,2017,actress,O
5080,the disaster artist,2017,actress,O
5081,logan,2017,actress,O
5082,molly's game,2017,actress,O
5083,star wars: the last jedi,2017,actress,O
5084,coco,2017,actress,O
5085,marshall,2017,actress,O
5086,the greatest showman,2017,actress,O
5087,baby driver,2017,actress,O
5088,blade runner 2049,2017,actress,O
5089,beauty and the beast,2017,actress,O
5090,victoria & abdul,2017,actress,O
5091,guardians of the galaxy vol. 2,2017,actress,O
5092,kong: skull island,2017,actress,O
5093,war for the planet of the apes,2017,actress,O
5094,green book,2018,actress,O
5095,black panther,2018,actress,O
5096,blackkklansman,2018,actress,O
5097,bohemian rhapsody,2018,actress,O
5098,the favourite,2018,actress,W
5099,roma,2018,actress,N
5100,a star is born,2018,actress,N
5101,vice,2018,actress,O
5102,cold war,2018,actress,O
5103,at eternity's gate,2018,actress,O
5104,the wife,2018,actress,N
5105,can you ever forgive me?,2018,actress,N
5106,if beale street could talk,2018,actress,O
5107,first reformed,2018,actress,O
5108,the ballad of buster scruggs,2018,actress,O
5109,isle of dogs,2018,actress,O
5110,mary poppins returns,2018,actress,O
5111,rbg,2018,actress,O
5112,first man,2018,actress,O
5113,a quiet place,2018,actress,O
5114,never look away,2018,actress,O
5115,mary queen of scots,2018,actress,O
5116,avengers: infinity war,2018,actress,O
5117,christopher robin,2018,actress,O
5118,ready player one,2018,actress,O
5119,solo: a star wars story,2018,actress,O
5120,ford v ferrari,2019,actress,O
5121,the irishman,2019,actress,O
5122,jojo rabbit,2019,actress,O
5123,joker,2019,actress,O
5124,little women,2019,actress,N
5125,marriage story,2019,actress,N
5126,1917,2019,actress,O
5127,once upon a time in hollywood,2019,actress,O
5128,parasite,2019,actress,O
5129,pain and glory,2019,actress,O
5130,the two popes,2019,actress,O
5131,harriet,2019,actress,N
5132,bombshell,2019,actress,N
5133,judy,2019,actress,N
5134,a beautiful day in the neighborhood,2019,actress,O
5135,richard jewell,2019,actress,O
5136,knives out,2019,actress,O
5137,star wars: the rise of skywalker,2019,actress,O
5138,toy story 4,2019,actress,O
5139,rocketman,2019,actress,O
5140,breakthrough,2019,actress,O
5141,frozen ii,2019,actress,O
5142,ad astra,2019,actress,O
5143,the lighthouse,2019,actress,O
5144,avengers: endgame,2019,actress,O
5145,the lion king,2019,actress,O
5146,gone with the wind,1939,cinematography,W
5147,dark victory,1939,cinematography,O
5148,"goodbye, mr. chips",1939,cinematography,O
5149,love affair,1939,cinematography,O
5150,mr. smith goes to washington,1939,cinematography,O
5151,ninotchka,1939,cinematography,O
5152,of mice and men,1939,cinematography,O
5153,stagecoach,1939,cinematography,N
5154,the wizard of oz,1939,cinematography,O
5155,wuthering heights,1939,cinematography,W
5156,babes in arms,1939,cinematography,O
5157,juarez,1939,cinematography,O
5158,beau geste,1939,cinematography,O
5159,drums along the mohawk,1939,cinematography,O
5160,first love,1939,cinematography,O
5161,the great victor herbert,1939,cinematography,O
5162,the hunchback of notre dame,1939,cinematography,O
5163,intermezzo,1939,cinematography,O
5164,the private lives of elizabeth and essex,1939,cinematography,N
5165,she married a cop,1939,cinematography,O
5166,swanee river,1939,cinematography,O
5167,they shall have music,1939,cinematography,O
5168,way down south,1939,cinematography,O
5169,eternally yours,1939,cinematography,O
5170,golden boy,1939,cinematography,O
5171,gulliver's travels,1939,cinematography,O
5172,the man in the iron mask,1939,cinematography,O
5173,man of conquest,1939,cinematography,O
5174,nurse edith cavell,1939,cinematography,O
5175,the rains came,1939,cinematography,O
5176,second fiddle,1939,cinematography,O
5177,when tomorrow comes,1939,cinematography,O
5178,balalaika,1939,cinematography,O
5179,captain fury,1939,cinematography,O
5180,only angels have wings,1939,cinematography,O
5181,topper takes a trip,1939,cinematography,O
5182,union pacific,1939,cinematography,O
5183,rebecca,1940,cinematography,W
5184,"all this, and heaven too",1940,cinematography,N
5185,foreign correspondent,1940,cinematography,N
5186,the grapes of wrath,1940,cinematography,O
5187,the great dictator,1940,cinematography,O
5188,kitty foyle,1940,cinematography,O
5189,the letter,1940,cinematography,N
5190,the long voyage home,1940,cinematography,N
5191,our town,1940,cinematography,O
5192,the philadelphia story,1940,cinematography,O
5193,abe lincoln in illinois,1940,cinematography,N
5194,the westerner,1940,cinematography,O
5195,they knew what they wanted,1940,cinematography,O
5196,primrose path,1940,cinematography,O
5197,the great mcginty,1940,cinematography,O
5198,angels over broadway,1940,cinematography,O
5199,dr. ehrlich's magic bullet,1940,cinematography,O
5200,pinocchio,1940,cinematography,O
5201,arizona,1940,cinematography,O
5202,dark command,1940,cinematography,O
5203,the fight for life,1940,cinematography,O
5204,the house of the seven gables,1940,cinematography,O
5205,the howards of virginia,1940,cinematography,O
5206,the mark of zorro,1940,cinematography,O
5207,my favorite wife,1940,cinematography,O
5208,north west mounted police,1940,cinematography,N
5209,one million b.c.,1940,cinematography,O
5210,the thief of bagdad,1940,cinematography,W
5211,waterloo bridge,1940,cinematography,N
5212,tin pan alley,1940,cinematography,O
5213,"arise, my love",1940,cinematography,N
5214,hit parade of 1941,1940,cinematography,O
5215,irene,1940,cinematography,O
5216,the sea hawk,1940,cinematography,O
5217,second chorus,1940,cinematography,O
5218,spring parade,1940,cinematography,N
5219,strike up the band,1940,cinematography,O
5220,down argentine way,1940,cinematography,N
5221,you'll find out,1940,cinematography,O
5222,music in my heart,1940,cinematography,O
5223,rhythm on the river,1940,cinematography,O
5224,behind the news,1940,cinematography,O
5225,captain caution,1940,cinematography,O
5226,too many husbands,1940,cinematography,O
5227,pride and prejudice,1940,cinematography,O
5228,the boys from syracuse,1940,cinematography,O
5229,lillian russell,1940,cinematography,O
5230,"my son, my son!",1940,cinematography,O
5231,bitter sweet,1940,cinematography,N
5232,boom town,1940,cinematography,N
5233,the blue bird,1940,cinematography,N
5234,northwest passage,1940,cinematography,N
5235,dr. cyclops,1940,cinematography,O
5236,the invisible man returns,1940,cinematography,O
5237,swiss family robinson,1940,cinematography,O
5238,typhoon,1940,cinematography,O
5239,women in war,1940,cinematography,O
5240,how green was my valley,1941,cinematography,W
5241,citizen kane,1941,cinematography,N
5242,here comes mr. jordan,1941,cinematography,N
5243,the little foxes,1941,cinematography,O
5244,sergeant york,1941,cinematography,N
5245,penny serenade,1941,cinematography,O
5246,all that money can buy,1941,cinematography,O
5247,suspicion,1941,cinematography,O
5248,hold back the dawn,1941,cinematography,N
5249,blossoms in the dust,1941,cinematography,N
5250,ball of fire,1941,cinematography,O
5251,the devil and miss jones,1941,cinematography,O
5252,the maltese falcon,1941,cinematography,O
5253,the great lie,1941,cinematography,O
5254,"tall, dark and handsome",1941,cinematography,O
5255,"tom, dick and harry",1941,cinematography,O
5256,back street,1941,cinematography,O
5257,cheers for miss bishop,1941,cinematography,O
5258,dr. jekyll and mr. hyde,1941,cinematography,N
5259,king of the zombies,1941,cinematography,O
5260,ladies in retirement,1941,cinematography,O
5261,lydia,1941,cinematography,O
5262,mercy island,1941,cinematography,O
5263,so ends our night,1941,cinematography,O
5264,sundown,1941,cinematography,N
5265,tanks a million,1941,cinematography,O
5266,that uncertain feeling,1941,cinematography,O
5267,this woman is mine,1941,cinematography,O
5268,dumbo,1941,cinematography,O
5269,all-american co-ed,1941,cinematography,O
5270,birth of the blues,1941,cinematography,O
5271,buck privates,1941,cinematography,O
5272,the chocolate soldier,1941,cinematography,N
5273,ice-capades,1941,cinematography,O
5274,the strawberry blonde,1941,cinematography,O
5275,sun valley serenade,1941,cinematography,N
5276,sunny,1941,cinematography,O
5277,you'll never get rich,1941,cinematography,O
5278,lady be good,1941,cinematography,O
5279,ridin' on a rainbow,1941,cinematography,O
5280,blues in the night,1941,cinematography,O
5281,las vegas nights,1941,cinematography,O
5282,that hamilton woman,1941,cinematography,N
5283,appointment for love,1941,cinematography,O
5284,the devil pays off,1941,cinematography,O
5285,the men in her life,1941,cinematography,O
5286,skylark,1941,cinematography,O
5287,topper returns,1941,cinematography,O
5288,the flame of new orleans,1941,cinematography,O
5289,the son of monte cristo,1941,cinematography,O
5290,when ladies meet,1941,cinematography,O
5291,sis hopkins,1941,cinematography,O
5292,blood and sand,1941,cinematography,W
5293,louisiana purchase,1941,cinematography,N
5294,aloma of the south seas,1941,cinematography,N
5295,billy the kid,1941,cinematography,N
5296,dive bomber,1941,cinematography,N
5297,i wanted wings,1941,cinematography,O
5298,flight command,1941,cinematography,O
5299,the invisible woman,1941,cinematography,O
5300,the sea wolf,1941,cinematography,O
5301,a yank in the r.a.f.,1941,cinematography,O
5302,mrs. miniver,1942,cinematography,W
5303,kings row,1942,cinematography,N
5304,random harvest,1942,cinematography,O
5305,wake island,1942,cinematography,O
5306,yankee doodle dandy,1942,cinematography,O
5307,the pride of the yankees,1942,cinematography,N
5308,the pied piper,1942,cinematography,N
5309,"now, voyager",1942,cinematography,O
5310,woman of the year,1942,cinematography,O
5311,my sister eileen,1942,cinematography,O
5312,johnny eager,1942,cinematography,O
5313,tortilla flat,1942,cinematography,O
5314,the magnificent ambersons,1942,cinematography,N
5315,one of our aircraft is missing,1942,cinematography,O
5316,road to morocco,1942,cinematography,O
5317,the war against mrs. hadley,1942,cinematography,O
5318,49th parallel,1942,cinematography,O
5319,the talk of the town,1942,cinematography,N
5320,arabian nights,1942,cinematography,N
5321,bambi,1942,cinematography,O
5322,the black swan,1942,cinematography,W
5323,the corsican brothers,1942,cinematography,O
5324,flying tigers,1942,cinematography,O
5325,the gold rush,1942,cinematography,O
5326,i married a witch,1942,cinematography,O
5327,joan of paris,1942,cinematography,O
5328,jungle book,1942,cinematography,N
5329,klondike fury,1942,cinematography,O
5330,the shanghai gesture,1942,cinematography,O
5331,silver queen,1942,cinematography,O
5332,"take a letter, darling",1942,cinematography,N
5333,to be or not to be,1942,cinematography,O
5334,flying with music,1942,cinematography,O
5335,for me and my gal,1942,cinematography,O
5336,holiday inn,1942,cinematography,O
5337,it started with eve,1942,cinematography,O
5338,johnny doughboy,1942,cinematography,O
5339,my gal sal,1942,cinematography,O
5340,you were never lovelier,1942,cinematography,O
5341,always in my heart,1942,cinematography,O
5342,babes on broadway,1942,cinematography,O
5343,orchestra wives,1942,cinematography,O
5344,youth on parade,1942,cinematography,O
5345,hellzapoppin',1942,cinematography,O
5346,the mayor of 44th street,1942,cinematography,O
5347,friendly enemies,1942,cinematography,O
5348,once upon a honeymoon,1942,cinematography,O
5349,this above all,1942,cinematography,N
5350,george washington slept here,1942,cinematography,O
5351,the spoilers,1942,cinematography,O
5352,captains of the clouds,1942,cinematography,N
5353,reap the wild wind,1942,cinematography,N
5354,moontide,1942,cinematography,N
5355,ten gentlemen from west point,1942,cinematography,N
5356,to the shores of tripoli,1942,cinematography,N
5357,desperate journey,1942,cinematography,O
5358,invisible agent,1942,cinematography,O
5359,the navy comes through,1942,cinematography,O
5360,casablanca,1943,cinematography,N
5361,heaven can wait,1943,cinematography,N
5362,the human comedy,1943,cinematography,N
5363,the more the merrier,1943,cinematography,O
5364,the song of bernadette,1943,cinematography,W
5365,watch on the rhine,1943,cinematography,O
5366,for whom the bell tolls,1943,cinematography,N
5367,madame curie,1943,cinematography,N
5368,the constant nymph,1943,cinematography,O
5369,sahara,1943,cinematography,N
5370,so proudly we hail!,1943,cinematography,N
5371,princess o'rourke,1943,cinematography,O
5372,air force,1943,cinematography,N
5373,in which we serve,1943,cinematography,O
5374,the north star,1943,cinematography,N
5375,holy matrimony,1943,cinematography,O
5376,the amazing mrs. holliday,1943,cinematography,O
5377,commandos strike at dawn,1943,cinematography,O
5378,the fallen sparrow,1943,cinematography,O
5379,hangmen also die!,1943,cinematography,O
5380,hi diddle diddle,1943,cinematography,O
5381,in old oklahoma,1943,cinematography,O
5382,johnny come lately,1943,cinematography,O
5383,the kansan,1943,cinematography,O
5384,lady of burlesque,1943,cinematography,O
5385,the moon and sixpence,1943,cinematography,O
5386,victory through air power,1943,cinematography,O
5387,this is the army,1943,cinematography,O
5388,coney island,1943,cinematography,O
5389,hit parade of 1943,1943,cinematography,O
5390,phantom of the opera,1943,cinematography,W
5391,saludos amigos,1943,cinematography,O
5392,the sky's the limit,1943,cinematography,O
5393,something to shout about,1943,cinematography,O
5394,stage door canteen,1943,cinematography,O
5395,star spangled rhythm,1943,cinematography,O
5396,thousands cheer,1943,cinematography,N
5397,"hello, frisco, hello",1943,cinematography,N
5398,cabin in the sky,1943,cinematography,O
5399,hers to hold,1943,cinematography,O
5400,thank your lucky stars,1943,cinematography,O
5401,this land is mine,1943,cinematography,O
5402,riding high,1943,cinematography,O
5403,so this is washington,1943,cinematography,O
5404,five graves to cairo,1943,cinematography,N
5405,flight for freedom,1943,cinematography,O
5406,mission to moscow,1943,cinematography,O
5407,the gang's all here,1943,cinematography,O
5408,corvette k-225,1943,cinematography,N
5409,lassie come home,1943,cinematography,N
5410,crash dive,1943,cinematography,O
5411,bombardier,1943,cinematography,O
5412,stand by for action,1943,cinematography,O
5413,going my way,1944,cinematography,N
5414,double indemnity,1944,cinematography,N
5415,gaslight,1944,cinematography,N
5416,since you went away,1944,cinematography,N
5417,wilson,1944,cinematography,W
5418,laura,1944,cinematography,W
5419,lifeboat,1944,cinematography,N
5420,none but the lonely heart,1944,cinematography,O
5421,mr. skeffington,1944,cinematography,O
5422,mrs. parkington,1944,cinematography,O
5423,the seventh cross,1944,cinematography,O
5424,dragon seed,1944,cinematography,N
5425,hail the conquering hero,1944,cinematography,O
5426,the miracle of morgan's creek,1944,cinematography,O
5427,two girls and a sailor,1944,cinematography,O
5428,wing and a prayer,1944,cinematography,O
5429,meet me in st. louis,1944,cinematography,N
5430,address unknown,1944,cinematography,O
5431,the adventures of mark twain,1944,cinematography,O
5432,the bridge of san luis rey,1944,cinematography,O
5433,casanova brown,1944,cinematography,O
5434,christmas holiday,1944,cinematography,O
5435,the fighting seabees,1944,cinematography,O
5436,the hairy ape,1944,cinematography,O
5437,it happened tomorrow,1944,cinematography,O
5438,jack london,1944,cinematography,O
5439,kismet,1944,cinematography,N
5440,the princess and the pirate,1944,cinematography,O
5441,summer storm,1944,cinematography,O
5442,three russian girls,1944,cinematography,O
5443,up in mabel's room,1944,cinematography,O
5444,voice in the wind,1944,cinematography,O
5445,the woman of the town,1944,cinematography,O
5446,cover girl,1944,cinematography,N
5447,brazil,1944,cinematography,O
5448,higher and higher,1944,cinematography,O
5449,hollywood canteen,1944,cinematography,O
5450,irish eyes are smiling,1944,cinematography,O
5451,knickerbocker holiday,1944,cinematography,O
5452,lady in the dark,1944,cinematography,N
5453,"lady, let's dance",1944,cinematography,O
5454,the merry monahans,1944,cinematography,O
5455,minstrel man,1944,cinematography,O
5456,sensations of 1945,1944,cinematography,O
5457,song of the open road,1944,cinematography,O
5458,up in arms,1944,cinematography,O
5459,follow the boys,1944,cinematography,O
5460,sweet and lowdown,1944,cinematography,O
5461,his butler's sister,1944,cinematography,O
5462,music in manhattan,1944,cinematography,O
5463,no time for love,1944,cinematography,O
5464,step lively,1944,cinematography,O
5465,the climax,1944,cinematography,O
5466,the desert song,1944,cinematography,O
5467,thirty seconds over tokyo,1944,cinematography,N
5468,the uninvited,1944,cinematography,N
5469,the white cliffs of dover,1944,cinematography,N
5470,home in indiana,1944,cinematography,N
5471,janie,1944,cinematography,O
5472,days of glory,1944,cinematography,O
5473,secret command,1944,cinematography,O
5474,the story of dr. wassell,1944,cinematography,O
5475,the lost weekend,1945,cinematography,N
5476,anchors aweigh,1945,cinematography,N
5477,the bells of st. mary's,1945,cinematography,O
5478,mildred pierce,1945,cinematography,N
5479,spellbound,1945,cinematography,N
5480,national velvet,1945,cinematography,N
5481,the southerner,1945,cinematography,O
5482,the keys of the kingdom,1945,cinematography,N
5483,a song to remember,1945,cinematography,N
5484,the valley of decision,1945,cinematography,O
5485,love letters,1945,cinematography,O
5486,leave her to heaven,1945,cinematography,W
5487,a tree grows in brooklyn,1945,cinematography,O
5488,the corn is green,1945,cinematography,O
5489,the story of g.i. joe,1945,cinematography,O
5490,a medal for benny,1945,cinematography,O
5491,the picture of dorian gray,1945,cinematography,W
5492,marie-louise,1945,cinematography,O
5493,dillinger,1945,cinematography,O
5494,music for millions,1945,cinematography,O
5495,salty o'rourke,1945,cinematography,O
5496,"what next, corporal hargrove?",1945,cinematography,O
5497,pride of the marines,1945,cinematography,O
5498,brewster's millions,1945,cinematography,O
5499,captain kidd,1945,cinematography,O
5500,the enchanted cottage,1945,cinematography,O
5501,flame of barbary coast,1945,cinematography,O
5502,g. i. honeymoon,1945,cinematography,O
5503,guest in the house,1945,cinematography,O
5504,guest wife,1945,cinematography,O
5505,the man who walked alone,1945,cinematography,O
5506,"objective, burma!",1945,cinematography,O
5507,paris underground,1945,cinematography,O
5508,this love of ours,1945,cinematography,O
5509,the woman in the window,1945,cinematography,O
5510,belle of the yukon,1945,cinematography,O
5511,can't help singing,1945,cinematography,O
5512,hitchhike to happiness,1945,cinematography,O
5513,incendiary blonde,1945,cinematography,O
5514,rhapsody in blue,1945,cinematography,O
5515,state fair,1945,cinematography,O
5516,sunbonnet sue,1945,cinematography,O
5517,the three caballeros,1945,cinematography,O
5518,tonight and every night,1945,cinematography,O
5519,why girls leave home,1945,cinematography,O
5520,wonder man,1945,cinematography,O
5521,here come the waves,1945,cinematography,O
5522,earl carroll vanities,1945,cinematography,O
5523,sing your way home,1945,cinematography,O
5524,san antonio,1945,cinematography,O
5525,lady on a train,1945,cinematography,O
5526,they were expendable,1945,cinematography,O
5527,three is a family,1945,cinematography,O
5528,the unseen,1945,cinematography,O
5529,blood on the sun,1945,cinematography,O
5530,experiment perilous,1945,cinematography,O
5531,frenchman's creek,1945,cinematography,O
5532,a thousand and one nights,1945,cinematography,O
5533,the spanish main,1945,cinematography,N
5534,captain eddie,1945,cinematography,O
5535,the best years of our lives,1946,cinematography,O
5536,henry v,1946,cinematography,O
5537,it's a wonderful life,1946,cinematography,O
5538,the razor's edge,1946,cinematography,O
5539,the yearling,1946,cinematography,W
5540,brief encounter,1946,cinematography,O
5541,the killers,1946,cinematography,O
5542,the jolson story,1946,cinematography,N
5543,to each his own,1946,cinematography,O
5544,duel in the sun,1946,cinematography,O
5545,sister kenny,1946,cinematography,O
5546,the green years,1946,cinematography,N
5547,notorious,1946,cinematography,O
5548,the spiral staircase,1946,cinematography,O
5549,saratoga trunk,1946,cinematography,O
5550,anna and the king of siam,1946,cinematography,W
5551,the seventh veil,1946,cinematography,O
5552,the blue dahlia,1946,cinematography,O
5553,children of paradise,1946,cinematography,O
5554,road to utopia,1946,cinematography,O
5555,"rome, open city",1946,cinematography,O
5556,humoresque,1946,cinematography,O
5557,blue skies,1946,cinematography,O
5558,centennial summer,1946,cinematography,O
5559,the harvey girls,1946,cinematography,O
5560,night and day,1946,cinematography,O
5561,the dolly sisters,1946,cinematography,O
5562,canyon passage,1946,cinematography,O
5563,kitty,1946,cinematography,O
5564,caesar and cleopatra,1946,cinematography,O
5565,blithe spirit,1946,cinematography,O
5566,a stolen life,1946,cinematography,O
5567,gentleman's agreement,1947,cinematography,O
5568,the bishop's wife,1947,cinematography,O
5569,crossfire,1947,cinematography,O
5570,great expectations,1947,cinematography,W
5571,miracle on 34th street,1947,cinematography,O
5572,a double life,1947,cinematography,O
5573,body and soul,1947,cinematography,O
5574,life with father,1947,cinematography,N
5575,mourning becomes electra,1947,cinematography,O
5576,the farmer's daughter,1947,cinematography,O
5577,possessed,1947,cinematography,O
5578,"smash-up, the story of a woman",1947,cinematography,O
5579,ride the pink horse,1947,cinematography,O
5580,kiss of death,1947,cinematography,O
5581,the paradine case,1947,cinematography,O
5582,the egg and i,1947,cinematography,O
5583,the bachelor and the bobby-soxer,1947,cinematography,O
5584,monsieur verdoux,1947,cinematography,O
5585,shoeshine,1947,cinematography,O
5586,boomerang!,1947,cinematography,O
5587,captain from castile,1947,cinematography,O
5588,forever amber,1947,cinematography,O
5589,mother wore tights,1947,cinematography,N
5590,fiesta,1947,cinematography,O
5591,my wild irish rose,1947,cinematography,O
5592,road to rio,1947,cinematography,O
5593,song of the south,1947,cinematography,O
5594,"the time, the place and the girl",1947,cinematography,O
5595,the perils of pauline,1947,cinematography,O
5596,good news,1947,cinematography,O
5597,green dolphin street,1947,cinematography,N
5598,t-men,1947,cinematography,O
