,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound,title,year
347,O,O,O,O,O,O,O,O,O,O,O,N,O,O,dillinger,1945
348,O,O,O,O,O,O,O,O,O,O,O,N,O,O,music for millions,1945
349,O,O,O,O,O,O,O,O,O,O,O,N,O,O,salty o'rourke,1945
350,O,O,O,O,O,O,O,O,O,O,O,N,O,O,"what next, corporal hargrove?",1945
351,O,O,O,O,O,O,O,O,O,O,O,N,O,O,pride of the marines,1945
352,O,O,O,O,O,O,O,N,O,O,O,O,O,O,brewster's millions,1945
353,O,O,O,O,O,O,O,N,O,O,O,O,O,O,captain kidd,1945
354,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the enchanted cottage,1945
355,O,O,O,O,O,O,O,N,O,O,O,O,O,N,flame of barbary coast,1945
356,O,O,O,O,O,O,O,N,O,O,O,O,O,O,g. i. honeymoon,1945
357,O,O,O,O,O,O,O,N,O,O,O,O,O,O,guest in the house,1945
358,O,O,O,O,O,O,O,N,O,O,O,O,O,O,guest wife,1945
359,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the man who walked alone,1945
360,O,O,O,O,O,N,O,N,O,O,O,O,O,O,"objective, burma!",1945
361,O,O,O,O,O,O,O,N,O,O,O,O,O,O,paris underground,1945
362,O,O,O,O,O,O,O,N,O,O,O,O,O,O,this love of ours,1945
363,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the woman in the window,1945
364,O,O,O,O,O,O,O,N,O,O,O,O,N,O,belle of the yukon,1945
365,O,O,O,O,O,O,O,N,O,O,O,O,N,O,can't help singing,1945
366,O,O,O,O,O,O,O,N,O,O,O,O,O,O,hitchhike to happiness,1945
367,O,O,O,O,O,O,O,N,O,O,O,O,O,O,incendiary blonde,1945
368,O,O,O,O,O,O,O,N,O,O,O,O,O,N,rhapsody in blue,1945
369,O,O,O,O,O,O,O,N,O,O,O,O,W,O,state fair,1945
370,O,O,O,O,O,O,O,N,O,O,O,O,O,O,sunbonnet sue,1945
371,O,O,O,O,O,O,O,N,O,O,O,O,O,N,the three caballeros,1945
372,O,O,O,O,O,O,O,N,O,O,O,O,N,O,tonight and every night,1945
373,O,O,O,O,O,O,O,N,O,O,O,O,N,O,why girls leave home,1945
374,O,O,O,O,O,O,W,N,O,O,O,O,N,N,wonder man,1945
375,O,O,O,O,O,O,O,O,O,O,O,O,N,O,here come the waves,1945
376,O,O,O,O,O,O,O,O,O,O,O,O,N,O,earl carroll vanities,1945
377,O,O,O,O,O,O,O,O,O,O,O,O,N,O,sing your way home,1945
378,O,O,O,O,O,O,O,O,O,O,O,O,N,O,san antonio,1945
379,O,O,O,O,O,O,O,O,O,O,O,O,O,N,lady on a train,1945
380,O,O,O,O,O,O,N,O,O,O,O,O,O,N,they were expendable,1945
381,O,O,O,O,O,O,O,O,O,O,O,O,O,N,three is a family,1945
382,O,O,O,O,O,O,O,O,O,O,O,O,O,N,the unseen,1945
383,O,O,O,O,O,O,O,O,O,O,O,O,O,O,blood on the sun,1945
384,O,O,O,O,O,O,O,O,O,O,O,O,O,O,experiment perilous,1945
385,O,O,O,O,O,O,O,O,O,O,O,O,O,O,frenchman's creek,1945
386,O,O,O,O,O,O,N,O,O,O,O,O,O,O,a thousand and one nights,1945
387,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the spanish main,1945
388,O,O,O,O,O,O,N,O,O,O,O,O,O,O,captain eddie,1945
389,W,O,O,O,W,W,O,W,W,W,O,W,O,N,the best years of our lives,1946
390,N,O,O,O,O,O,O,N,N,O,O,O,O,O,henry v,1946
391,N,O,O,O,N,N,O,O,N,O,O,O,O,N,it's a wonderful life,1946
392,O,O,O,O,O,O,O,O,N,N,W,O,O,O,the razor's edge,1946
393,N,N,W,O,N,N,O,O,N,O,O,O,O,O,the yearling,1946
394,O,N,O,O,N,O,O,O,O,O,O,N,O,O,brief encounter,1946
395,O,O,O,O,N,N,O,N,O,O,O,N,O,O,the killers,1946
396,N,O,N,O,O,N,O,W,O,N,O,O,O,W,the jolson story,1946
397,O,W,O,O,O,O,O,O,O,O,O,O,O,O,to each his own,1946
398,O,N,O,O,O,O,O,O,O,O,N,O,O,O,duel in the sun,1946
399,O,N,O,O,O,O,O,O,O,O,O,O,O,O,sister kenny,1946
400,O,O,N,O,O,O,O,O,O,N,O,O,O,O,the green years,1946
401,O,O,O,O,O,O,O,O,O,N,O,N,O,O,notorious,1946
402,O,O,O,O,O,O,O,O,O,O,N,O,O,O,the spiral staircase,1946
403,O,O,O,O,O,O,O,O,O,O,N,O,O,O,saratoga trunk,1946
404,O,O,W,O,O,O,O,N,O,O,N,N,O,O,anna and the king of siam,1946
405,O,O,O,O,O,O,O,O,O,O,O,W,O,O,the seventh veil,1946
406,O,O,O,O,O,O,O,O,O,O,O,N,O,O,the blue dahlia,1946
407,O,O,O,O,O,O,O,O,O,O,O,N,O,O,children of paradise,1946
408,O,O,O,O,O,O,O,O,O,O,O,N,O,O,road to utopia,1946
409,O,O,O,O,O,O,O,O,O,O,O,N,O,O,"rome, open city",1946
410,O,O,O,O,O,O,O,N,O,O,O,O,O,O,humoresque,1946
411,O,O,O,O,O,O,O,N,O,O,O,O,N,O,blue skies,1946
412,O,O,O,O,O,O,O,N,O,O,O,O,N,O,centennial summer,1946
413,O,O,O,O,O,O,O,N,O,O,O,O,W,O,the harvey girls,1946
414,O,O,O,O,O,O,O,N,O,O,O,O,O,O,night and day,1946
415,O,O,O,O,O,O,O,O,O,O,O,O,N,O,the dolly sisters,1946
416,O,O,O,O,O,O,O,O,O,O,O,O,N,O,canyon passage,1946
417,O,O,O,O,O,O,O,O,O,O,O,O,O,O,kitty,1946
418,O,O,O,O,O,O,O,O,O,O,O,O,O,O,caesar and cleopatra,1946
419,O,O,O,O,O,O,W,O,O,O,O,O,O,O,blithe spirit,1946
420,O,O,O,O,O,O,N,O,O,O,O,O,O,O,a stolen life,1946
421,N,N,O,O,W,N,O,O,W,O,WN,N,O,O,gentleman's agreement,1947
422,O,O,O,O,N,N,O,N,N,O,O,O,O,W,the bishop's wife,1947
423,O,O,O,O,N,O,O,O,N,N,N,N,O,O,crossfire,1947
424,O,O,W,O,N,O,O,O,N,O,O,N,O,O,great expectations,1947
425,O,O,O,O,O,O,O,O,N,W,O,W,O,O,miracle on 34th street,1947
426,W,O,O,O,N,O,O,W,O,O,O,N,O,O,a double life,1947
427,N,O,O,O,O,W,O,O,O,O,O,N,O,O,body and soul,1947
428,N,O,N,O,O,O,O,N,O,O,O,O,O,O,life with father,1947
429,N,N,O,O,O,O,O,O,O,O,O,O,O,O,mourning becomes electra,1947
430,O,W,O,O,O,O,O,O,O,N,O,O,O,O,the farmer's daughter,1947
431,O,N,O,O,O,O,O,O,O,O,O,O,O,O,possessed,1947
432,O,N,O,O,O,O,O,O,O,O,O,O,O,O,"smash-up, the story of a woman",1947
433,O,O,O,O,O,O,O,O,O,N,O,O,O,O,ride the pink horse,1947
434,O,O,O,O,O,O,O,O,O,N,O,O,O,O,kiss of death,1947
435,O,O,O,O,O,O,O,O,O,O,N,O,O,O,the paradine case,1947
436,O,O,O,O,O,O,O,O,O,O,N,O,O,O,the egg and i,1947
437,O,O,O,O,O,O,O,O,O,O,O,W,O,O,the bachelor and the bobby-soxer,1947
438,O,O,O,O,O,O,O,O,O,O,O,N,O,O,monsieur verdoux,1947
439,O,O,O,O,O,O,O,O,O,O,O,N,O,O,shoeshine,1947
440,O,O,O,O,O,O,O,O,O,O,O,N,O,O,boomerang!,1947
441,O,O,O,O,O,O,O,N,O,O,O,O,O,O,captain from castile,1947
442,O,O,O,O,O,O,O,N,O,O,O,O,O,O,forever amber,1947
443,O,O,N,O,O,O,O,W,O,O,O,O,N,O,mother wore tights,1947
444,O,O,O,O,O,O,O,N,O,O,O,O,O,O,fiesta,1947
445,O,O,O,O,O,O,O,N,O,O,O,O,O,O,my wild irish rose,1947
446,O,O,O,O,O,O,O,N,O,O,O,O,O,O,road to rio,1947
447,O,O,O,O,O,O,O,N,O,O,O,O,W,O,song of the south,1947
448,O,O,O,O,O,O,O,O,O,O,O,O,N,O,"the time, the place and the girl",1947
449,O,O,O,O,O,O,O,O,O,O,O,O,N,O,the perils of pauline,1947
450,O,O,O,O,O,O,O,O,O,O,O,O,N,O,good news,1947
451,O,O,N,O,O,N,W,O,O,O,O,O,O,N,green dolphin street,1947
452,O,O,O,O,O,O,O,O,O,O,O,O,O,N,t-men,1947
453,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the foxes of harrow,1947
454,O,O,W,O,O,O,O,O,O,O,O,O,O,O,black narcissus,1947
455,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the ghost and mrs. muir,1947
456,O,O,O,O,O,N,O,O,O,O,O,O,O,O,odd man out,1947
457,O,O,O,O,O,O,N,O,O,O,O,O,O,O,unconquered,1947
458,W,O,O,W,N,O,O,N,W,O,N,O,O,O,hamlet,1948
459,N,W,N,O,N,N,O,N,N,N,N,N,O,N,johnny belinda,1948
460,O,O,O,O,O,N,O,W,N,O,O,O,O,O,the red shoes,1948
461,O,N,O,O,N,O,O,N,N,O,O,N,O,W,the snake pit,1948
462,O,O,O,O,W,O,O,O,N,W,O,W,O,O,the treasure of the sierra madre,1948
463,N,O,O,O,N,O,O,O,O,O,O,N,O,O,the search,1948
464,N,O,O,O,O,O,O,N,O,O,O,O,O,O,when my baby smiles at me,1948
465,N,O,O,O,O,O,O,O,O,O,O,O,O,O,sitting pretty,1948
466,O,N,W,W,O,N,O,N,O,N,O,O,O,O,joan of arc,1948
467,O,N,N,O,O,O,O,O,O,N,N,O,O,O,i remember mama,1948
468,O,N,O,O,O,O,O,O,O,O,O,O,O,O,"sorry, wrong number",1948
469,O,O,O,O,O,O,O,O,O,N,O,O,O,O,the luck of the irish,1948
470,O,O,O,O,O,O,O,O,O,O,W,O,O,O,key largo,1948
471,O,O,N,O,O,O,O,O,O,O,O,N,O,O,a foreign affair,1948
472,O,O,O,O,O,O,O,W,O,O,O,O,O,O,easter parade,1948
473,O,O,O,N,O,O,O,N,O,O,O,O,O,O,the emperor waltz,1948
474,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the pirate,1948
475,O,O,O,O,O,O,O,N,O,O,O,O,N,O,romance on the high seas,1948
476,O,O,O,O,O,O,O,O,O,O,O,O,W,O,the paleface,1948
477,O,O,O,O,O,O,O,O,O,O,O,O,N,O,casbah,1948
478,O,O,O,O,O,O,O,O,O,O,O,O,N,O,that lady in ermine,1948
479,O,O,O,O,O,O,O,O,O,O,O,O,N,O,wet blanket policy,1948
480,O,O,O,O,O,O,O,O,O,O,O,O,O,N,moonrise,1948
481,O,O,W,O,O,W,O,O,O,O,O,O,O,O,the naked city,1948
482,O,O,N,O,O,O,W,O,O,O,O,O,O,O,portrait of jennie,1948
483,O,O,N,O,O,O,O,O,O,O,O,O,O,O,green grass of wyoming,1948
484,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the loves of carmen,1948
485,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the three musketeers,1948
486,O,O,O,N,O,O,O,O,O,O,O,O,O,O,b.f.'s daughter,1948
487,O,O,O,O,O,N,O,O,O,O,O,O,O,O,red river,1948
488,O,O,O,O,O,O,N,O,O,O,O,O,O,O,deep waters,1948
489,W,O,O,O,N,N,O,O,W,N,W,N,O,O,all the king's men,1949
490,O,O,W,O,N,N,O,O,N,N,O,O,O,O,battleground,1949
491,O,W,N,W,N,O,O,W,N,N,O,O,O,O,the heiress,1949
492,O,O,O,O,W,O,O,O,N,O,O,W,O,O,a letter to three wives,1949
493,N,O,O,O,O,O,O,O,N,W,O,O,O,W,twelve o'clock high,1949
494,O,O,O,O,N,O,O,O,O,O,O,N,O,O,the fallen idol,1949
495,N,O,N,O,O,W,O,N,O,N,O,N,O,O,champion,1949
496,N,O,O,O,O,O,O,O,O,O,O,O,O,O,the hasty heart,1949
497,N,O,O,O,O,N,O,O,O,O,O,O,O,N,sands of iwo jima,1949
498,O,N,O,O,O,O,O,O,O,O,N,O,O,O,pinky,1949
499,O,N,O,O,O,O,O,O,O,O,O,O,N,O,my foolish heart,1949
500,O,N,O,O,O,O,O,O,O,O,O,O,O,O,"edward, my son",1949
501,O,N,N,O,O,O,O,O,O,O,N,O,N,O,come to the stable,1949
502,O,O,O,O,O,O,O,O,O,O,O,N,O,O,bicycle thieves,1949
503,O,O,O,O,O,O,O,N,O,O,O,O,O,O,beyond the forest,1949
504,O,O,O,O,O,O,O,W,O,O,O,O,O,O,on the town,1949
505,O,O,N,O,O,O,O,N,O,O,O,O,O,O,jolson sings again,1949
506,O,O,O,O,O,O,O,N,O,O,O,O,O,O,look for the silver lining,1949
507,O,O,O,O,O,O,O,O,O,O,O,O,W,O,neptune's daughter,1949
508,O,O,O,O,O,O,O,O,O,O,O,O,N,O,it's a great feeling,1949
509,O,O,O,O,O,O,O,O,O,O,O,O,N,O,so dear to my heart,1949
510,O,O,O,O,O,O,O,O,O,O,O,O,O,N,"once more, my darling",1949
511,O,O,O,O,O,O,O,O,O,O,O,O,O,O,madame bovary,1949
512,O,O,N,O,O,O,O,O,O,O,O,O,O,O,little women,1949
513,O,O,O,W,O,O,O,O,O,O,O,O,O,O,adventures of don juan,1949
514,O,O,O,O,O,O,O,O,O,O,O,O,O,O,saraband for dead lovers,1949
515,O,O,N,N,O,O,O,O,O,O,O,O,O,O,prince of foxes,1949
516,O,O,W,O,O,O,O,O,O,O,O,O,O,O,she wore a yellow ribbon,1949
517,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the barkleys of broadway,1949
518,O,O,N,O,O,O,O,O,O,O,O,O,O,O,sand,1949
519,O,O,O,N,O,O,O,O,O,O,O,O,O,O,mother is a freshman,1949
520,O,O,O,O,O,N,O,O,O,O,O,O,O,O,the window,1949
521,O,O,O,O,O,O,W,O,O,O,O,O,O,O,mighty joe young,1949
522,O,O,O,O,O,O,N,O,O,O,O,O,O,O,tulsa,1949
523,O,N,N,W,W,N,O,N,W,W,N,W,O,W,all about eve,1950
524,O,W,O,N,N,O,O,O,N,O,O,N,O,O,born yesterday,1950
525,N,O,O,O,O,O,O,O,N,O,O,N,O,O,father of the bride,1950
526,O,O,W,O,O,W,O,O,N,O,O,O,O,O,king solomon's mines,1950
527,N,N,N,O,N,N,O,W,N,N,N,O,O,O,sunset boulevard,1950
528,O,O,N,O,N,O,O,O,O,N,O,N,O,O,the asphalt jungle,1950
529,O,O,W,O,N,N,O,O,O,O,O,O,O,O,the third man,1950
530,W,O,O,O,O,O,O,O,O,O,O,O,O,O,cyrano de bergerac,1950
531,N,O,O,N,O,O,O,O,O,O,O,O,O,O,the magnificent yankee,1950
532,N,O,O,O,O,O,O,O,O,O,W,O,O,O,harvey,1950
533,O,N,O,O,O,O,O,O,O,O,N,O,O,O,caged,1950
534,O,O,N,O,O,O,O,O,O,N,O,N,O,O,broken arrow,1950
535,O,O,O,O,O,O,O,O,O,N,O,O,O,O,mister 880,1950
536,O,O,N,O,O,O,O,N,O,O,O,O,O,O,the flame and the arrow,1950
537,O,O,O,O,O,O,O,N,O,O,O,O,O,O,no sad songs for me,1950
538,O,O,N,W,O,O,N,N,O,O,O,O,O,O,samson and delilah,1950
539,O,O,N,O,O,N,O,W,O,O,O,O,O,O,annie get your gun,1950
540,O,O,O,O,O,O,O,N,O,O,O,O,N,N,cinderella,1950
541,O,O,O,O,O,O,O,N,O,O,O,O,O,O,i'll get by,1950
542,O,O,O,O,O,O,O,N,O,O,O,O,O,O,three little words,1950
543,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the west point story,1950
544,O,O,O,O,O,O,O,O,O,O,O,O,W,O,"captain carey, u.s.a.",1950
545,O,O,O,O,O,O,O,O,O,O,O,O,N,O,the toast of new orleans,1950
546,O,O,O,O,O,O,O,O,O,O,O,O,N,O,singing guns,1950
547,O,O,O,O,O,O,O,O,O,O,O,O,N,O,wabash avenue,1950
548,O,O,O,O,O,O,O,O,O,O,O,O,O,N,louisa,1950
549,O,O,O,O,O,O,O,O,O,O,O,O,O,N,our very own,1950
550,O,O,O,O,O,O,O,O,O,O,O,O,O,N,trio,1950
551,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the red danube,1950
552,O,O,O,O,O,O,W,O,O,O,O,O,O,O,destination moon,1950
553,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the furies,1950
554,O,O,O,N,O,O,O,O,O,O,O,O,O,O,the black rose,1950
555,O,O,O,N,O,O,O,O,O,O,O,O,O,O,that forsyte woman,1950
556,O,O,W,W,N,N,O,W,W,O,O,O,O,O,an american in paris,1951
557,O,O,O,O,O,N,O,O,N,O,O,O,O,O,decision before dawn,1951
558,N,N,W,W,W,W,O,W,N,O,O,W,O,O,a place in the sun,1951
559,O,O,N,N,O,N,O,N,N,N,O,O,O,O,quo vadis,1951
560,N,W,N,N,N,O,O,N,N,W,W,N,O,N,a streetcar named desire,1951
561,W,N,O,O,N,O,O,O,O,O,O,N,O,O,the african queen,1951
562,O,N,O,O,N,O,O,O,O,O,N,N,O,O,detective story,1951
563,N,O,O,O,O,O,O,O,O,O,O,O,O,N,bright victory,1951
564,N,O,N,O,O,O,O,N,O,N,N,O,O,O,death of a salesman,1951
565,O,N,O,O,O,O,O,O,O,O,N,O,O,O,the blue veil,1951
566,O,O,O,O,O,O,O,O,O,N,O,O,O,O,come fill the cup,1951
567,O,O,O,O,O,O,O,O,O,O,N,O,O,O,the mating season,1951
568,O,O,O,O,O,O,O,O,O,O,O,N,O,O,la ronde,1951
569,O,O,N,N,O,O,O,N,O,O,O,O,O,O,david and bathsheba,1951
570,O,O,O,O,O,O,O,N,O,O,O,O,O,O,alice in wonderland,1951
571,O,O,O,N,O,O,O,N,O,O,O,O,O,W,the great caruso,1951
572,O,O,O,O,O,O,O,N,O,O,O,O,O,O,on the riviera,1951
573,O,O,N,O,O,O,O,N,O,O,O,O,O,O,show boat,1951
574,O,O,O,O,O,O,O,O,O,O,O,O,W,O,here comes the groom,1951
575,O,O,O,O,O,O,O,O,O,O,O,O,N,O,the strip,1951
576,O,O,O,O,O,O,O,O,O,O,O,O,N,O,golden girl,1951
577,O,O,O,O,O,O,O,O,O,O,O,O,N,O,royal wedding,1951
578,O,O,O,O,O,O,O,O,O,O,O,O,N,O,"rich, young and pretty",1951
579,O,O,O,O,O,O,O,O,O,O,O,O,O,N,i want you,1951
580,O,O,O,O,O,O,O,O,O,O,O,O,O,N,two tickets to broadway,1951
581,O,O,O,O,O,O,O,O,O,O,O,O,O,O,fourteen hours,1951
582,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the house on telegraph hill,1951
583,O,O,O,O,O,O,O,O,O,O,O,O,O,O,too young to kiss,1951
584,O,O,O,N,O,O,O,O,O,O,O,O,O,O,tales of hoffmann,1951
585,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the frogmen,1951
586,O,O,N,O,O,O,O,O,O,O,O,O,O,O,strangers on a train,1951
587,O,O,N,O,O,O,O,O,O,O,O,O,O,O,when worlds collide,1951
588,O,O,O,N,O,O,O,O,O,O,O,O,O,O,kind lady,1951
589,O,O,O,N,O,O,O,O,O,O,O,O,O,O,the model and the marriage broker,1951
590,O,O,O,N,O,O,O,O,O,O,O,O,O,O,the mudlark,1951
591,O,O,O,O,O,N,O,O,O,O,O,O,O,O,the well,1951
592,O,O,O,N,N,N,O,O,W,O,O,O,O,O,the greatest show on earth,1952
593,W,O,O,O,N,W,O,W,N,O,O,N,W,O,high noon,1952
594,O,O,N,O,O,O,O,N,N,O,O,O,O,O,ivanhoe,1952
595,N,O,O,W,N,N,O,O,N,O,N,O,O,O,moulin rouge,1952
596,O,O,W,O,W,O,O,O,N,N,O,N,O,N,the quiet man,1952
597,O,O,O,O,N,O,O,O,O,O,O,N,O,O,five fingers,1952
598,N,O,O,O,O,O,O,N,O,W,O,O,O,O,viva zapata!,1952
599,N,O,W,W,O,O,O,O,O,O,W,W,O,O,the bad and the beautiful,1952
600,N,O,O,O,O,O,O,O,O,O,O,O,O,O,the lavender hill mob,1952
601,O,W,O,O,O,N,O,O,O,O,N,O,O,O,"come back, little sheba",1952
602,O,N,N,N,O,O,O,O,O,N,O,O,O,O,sudden fear,1952
603,O,N,O,O,O,O,O,O,O,O,O,O,O,O,the star,1952
604,O,N,O,O,O,O,O,O,O,O,O,O,O,O,the member of the wedding,1952
605,O,N,O,N,O,O,O,W,O,O,N,O,O,N,with a song in my heart,1952
606,O,O,N,N,O,O,O,O,O,N,O,O,O,O,my cousin rachel,1952
607,O,O,N,O,O,O,O,O,O,N,O,O,O,O,the big sky,1952
608,O,O,O,O,O,O,O,N,O,O,N,O,O,O,singin' in the rain,1952
609,O,O,O,O,O,O,O,O,O,O,O,N,O,O,the man in the white suit,1952
610,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the miracle of our lady of fatima,1952
611,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the thief,1952
612,O,O,N,N,O,O,O,N,O,O,O,O,N,N,hans christian andersen,1952
613,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the jazz singer,1952
614,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the medium,1952
615,O,O,O,O,O,O,O,O,O,O,O,O,N,O,son of paleface,1952
616,O,O,O,O,O,O,O,O,O,O,O,O,N,O,because you're mine,1952
617,O,O,O,O,O,O,O,O,O,O,O,O,N,O,just for you,1952
618,O,O,O,O,O,O,O,O,O,O,O,O,O,W,breaking the sound barrier,1952
619,O,O,O,O,O,O,O,O,O,O,O,O,O,N,the card,1952
620,O,O,O,N,O,O,O,O,O,O,O,O,O,O,carrie,1952
621,O,O,O,O,O,O,O,O,O,O,O,O,O,O,rashomon,1952
622,O,O,O,N,O,O,O,O,O,O,O,O,O,O,the merry widow,1952
623,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the snows of kilimanjaro,1952
624,O,O,N,O,O,O,O,O,O,O,O,O,O,O,navajo,1952
625,O,O,N,O,O,O,O,O,O,O,O,O,O,O,million dollar mermaid,1952
626,O,O,O,N,O,O,O,O,O,O,O,O,O,O,affair in trinidad,1952
627,O,O,O,O,O,N,O,O,O,O,O,O,O,O,flat top,1952
628,N,N,W,N,W,W,O,N,W,W,W,W,O,W,from here to eternity,1953
629,N,O,N,O,O,O,O,N,N,O,O,O,O,O,julius caesar,1953
630,N,O,N,W,O,O,O,O,N,O,O,O,O,O,the robe,1953
631,O,W,N,W,N,N,O,O,N,N,O,N,O,O,roman holiday,1953
632,O,O,W,O,N,O,O,O,N,N,O,N,O,O,shane,1953
633,O,N,N,O,N,O,O,W,O,O,O,N,O,O,lili,1953
634,W,O,O,O,N,O,O,O,O,N,O,O,O,O,stalag 17,1953
635,O,N,O,O,O,O,O,O,O,O,N,O,O,O,mogambo,1953
636,O,N,O,O,O,N,O,O,O,O,O,O,N,O,the moon is blue,1953
637,O,O,O,O,O,O,O,O,O,O,N,O,O,O,hondo,1953
638,O,O,O,O,O,O,O,O,O,O,N,O,O,O,torch song,1953
639,O,O,O,O,O,O,O,O,O,O,N,O,O,O,pickup on south street,1953
640,O,O,O,O,O,O,O,O,O,O,O,N,O,O,the cruel sea,1953
641,O,O,O,O,O,O,O,N,O,O,O,O,O,O,above and beyond,1953
642,O,O,O,O,O,O,O,N,O,O,O,O,O,O,this is cinerama,1953
643,O,O,O,N,O,O,O,W,O,O,O,O,O,O,call me madam,1953
644,O,O,O,O,O,O,O,N,O,O,O,O,O,O,"the 5,000 fingers of dr. t.",1953
645,O,O,O,N,O,O,O,N,O,O,O,O,O,O,the band wagon,1953
646,O,O,O,O,O,O,O,N,O,O,O,O,W,N,calamity jane,1953
647,O,O,O,O,O,O,O,N,O,O,O,O,O,O,kiss me kate,1953
648,O,O,O,O,O,O,O,O,O,O,O,O,N,O,small town girl,1953
649,O,O,O,O,O,O,O,O,O,O,O,O,N,O,miss sadie thompson,1953
650,O,O,O,O,O,O,O,O,O,O,O,O,N,O,the caddy,1953
651,O,O,O,O,O,O,O,O,O,O,O,O,O,N,knights of the round table,1953
652,O,O,O,O,O,O,O,O,O,O,O,O,O,N,the mississippi gambler,1953
653,O,O,O,O,O,N,O,O,O,O,O,O,O,N,the war of the worlds,1953
654,O,O,N,O,O,O,O,O,O,O,O,O,O,O,martin luther,1953
655,O,O,O,N,O,O,O,O,O,O,O,O,O,O,the president's lady,1953
656,O,O,O,O,O,O,O,O,O,O,O,O,O,O,titanic,1953
657,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the story of three loves,1953
658,O,O,O,N,O,O,O,O,O,O,O,O,O,O,young bess,1953
659,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the four poster,1953
660,O,O,N,O,O,O,O,O,O,O,O,O,O,O,all the brothers were valiant,1953
661,O,O,N,O,O,O,O,O,O,O,O,O,O,O,beneath the 12-mile reef,1953
662,O,O,O,N,O,O,O,O,O,O,O,O,O,O,the actress,1953
663,O,O,O,N,O,O,O,O,O,O,O,O,O,O,dream wife,1953
664,O,O,O,N,O,O,O,O,O,O,O,O,O,O,how to marry a millionaire,1953
665,O,O,O,O,O,N,O,O,O,O,O,O,O,O,crazylegs,1953
666,W,O,W,O,W,W,O,N,W,N,W,O,O,O,on the waterfront,1954
667,N,O,O,O,O,N,O,N,N,N,O,N,O,N,the caine mutiny,1954
668,N,W,N,O,N,O,O,O,N,O,O,W,O,O,the country girl,1954
669,O,O,N,O,O,N,O,W,N,O,O,N,O,O,seven brides for seven brothers,1954
670,O,O,W,O,O,O,O,O,N,O,O,O,W,O,three coins in the fountain,1954
671,O,O,O,O,N,N,O,W,O,O,N,O,N,O,the high and the mighty,1954
672,O,O,N,O,N,O,O,O,O,O,O,N,O,N,rear window,1954
673,O,N,N,W,N,O,O,O,O,O,O,N,O,O,sabrina,1954
674,N,N,O,N,O,O,O,N,O,O,O,O,N,O,a star is born,1954
675,N,O,O,O,O,O,O,O,O,O,O,O,O,O,robinson crusoe,1954
676,O,N,O,O,O,O,O,N,O,O,O,O,O,O,carmen jones,1954
677,O,N,O,O,O,O,O,O,O,O,O,O,O,O,magnificent obsession,1954
678,O,O,O,O,O,O,O,O,O,W,O,O,O,O,the barefoot contessa,1954
679,O,O,N,N,O,O,O,O,O,O,N,O,O,O,executive suite,1954
680,O,O,O,O,O,O,O,O,O,O,N,O,O,O,broken lance,1954
681,O,O,O,O,O,O,O,N,O,O,O,O,O,O,genevieve,1954
682,O,O,N,O,O,O,O,N,O,O,O,O,O,O,the silver chalice,1954
683,O,O,O,O,O,O,O,N,O,O,O,O,O,W,the glenn miller story,1954
684,O,O,O,N,O,O,O,N,O,O,O,O,O,O,there's no business like show business,1954
685,O,O,O,O,O,O,O,O,O,O,O,O,N,O,white christmas,1954
686,O,O,O,O,O,O,O,O,O,O,O,O,N,N,susan slept here,1954
687,O,O,O,N,O,O,O,O,O,O,O,O,O,N,brigadoon,1954
688,O,O,O,O,O,O,O,O,O,O,O,O,O,O,le plaisir,1954
689,O,O,O,O,O,N,W,O,O,O,O,O,O,O,"20,000 leagues under the sea",1954
690,O,O,O,N,O,O,O,O,O,O,O,O,O,O,désirée,1954
691,O,O,O,O,O,O,O,O,O,O,O,O,O,O,red garters,1954
692,O,O,N,O,O,O,O,O,O,O,O,O,O,O,rogue cop,1954
693,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the egyptian,1954
694,O,O,O,N,O,O,O,O,O,O,O,O,O,O,the earrings of madame de…,1954
695,O,O,O,N,O,O,O,O,O,O,O,O,O,O,indiscretion of an american wife,1954
696,O,O,O,N,O,O,O,O,O,O,O,O,O,O,it should happen to you,1954
697,O,O,O,W,O,O,O,O,O,O,O,O,O,O,gate of hell,1954
